"Region/Country code","Region/Country name","Local authority code","Local authority","Date","new houses"
"E12000002","North West","E08000010","Wigan","Jun-06",861
"E12000002","North West","E08000001","Bolton","Sep-06",497
"E12000002","North West","E08000002","Bury","Sep-06",547
"E12000002","North West","E08000003","Manchester","Sep-06",4059
"E12000002","North West","E08000004","Oldham","Sep-06",293
"E12000002","North West","E08000005","Rochdale","Sep-06",384
"E12000002","North West","E08000006","Salford","Sep-06",1236
"E12000002","North West","E08000007","Stockport","Sep-06",472
"E12000002","North West","E08000008","Tameside","Sep-06",571
"E12000002","North West","E08000009","Trafford","Sep-06",498
"E12000002","North West","E08000010","Wigan","Sep-06",923
"E12000002","North West","E08000001","Bolton","Dec-06",457
"E12000002","North West","E08000002","Bury","Dec-06",591
"E12000002","North West","E08000003","Manchester","Dec-06",4404
"E12000002","North West","E08000004","Oldham","Dec-06",354
"E12000002","North West","E08000005","Rochdale","Dec-06",404
"E12000002","North West","E08000006","Salford","Dec-06",1291
"E12000002","North West","E08000007","Stockport","Dec-06",482
"E12000002","North West","E08000008","Tameside","Dec-06",476
"E12000002","North West","E08000009","Trafford","Dec-06",401
"E12000002","North West","E08000010","Wigan","Dec-06",1093
"E12000002","North West","E08000001","Bolton","Mar-07",465
"E12000002","North West","E08000002","Bury","Mar-07",541
"E12000002","North West","E08000003","Manchester","Mar-07",4197
"E12000002","North West","E08000004","Oldham","Mar-07",358
"E12000002","North West","E08000005","Rochdale","Mar-07",369
"E12000002","North West","E08000006","Salford","Mar-07",1180
"E12000002","North West","E08000007","Stockport","Mar-07",405
"E12000002","North West","E08000008","Tameside","Mar-07",422
"E12000002","North West","E08000009","Trafford","Mar-07",337
"E12000002","North West","E08000010","Wigan","Mar-07",1153
"E12000002","North West","E08000001","Bolton","Jun-07",563
"E12000002","North West","E08000002","Bury","Jun-07",452
"E12000002","North West","E08000003","Manchester","Jun-07",3782
"E12000002","North West","E08000004","Oldham","Jun-07",322
"E12000002","North West","E08000005","Rochdale","Jun-07",293
"E12000002","North West","E08000006","Salford","Jun-07",1161
"E12000002","North West","E08000007","Stockport","Jun-07",343
"E12000002","North West","E08000008","Tameside","Jun-07",384
"E12000002","North West","E08000009","Trafford","Jun-07",276
"E12000002","North West","E08000010","Wigan","Jun-07",1258
"E12000002","North West","E08000001","Bolton","Sep-07",539
"E12000002","North West","E08000002","Bury","Sep-07",419
"E12000002","North West","E08000003","Manchester","Sep-07",3404
"E12000002","North West","E08000004","Oldham","Sep-07",295
"E12000002","North West","E08000005","Rochdale","Sep-07",248
"E12000002","North West","E08000006","Salford","Sep-07",1167
"E12000002","North West","E08000007","Stockport","Sep-07",274
"E12000002","North West","E08000008","Tameside","Sep-07",345
"E12000002","North West","E08000009","Trafford","Sep-07",300
"E12000002","North West","E08000010","Wigan","Sep-07",1370
"E12000002","North West","E08000001","Bolton","Dec-07",537
"E12000002","North West","E08000002","Bury","Dec-07",357
"E12000002","North West","E08000003","Manchester","Dec-07",2808
"E12000002","North West","E08000004","Oldham","Dec-07",230
"E12000002","North West","E08000005","Rochdale","Dec-07",224
"E12000002","North West","E08000006","Salford","Dec-07",1184
"E12000002","North West","E08000007","Stockport","Dec-07",176
"E12000002","North West","E08000008","Tameside","Dec-07",340
"E12000002","North West","E08000009","Trafford","Dec-07",259
"E12000002","North West","E08000010","Wigan","Dec-07",1399
"E12000002","North West","E08000001","Bolton","Mar-08",527
"E12000002","North West","E08000002","Bury","Mar-08",313
"E12000002","North West","E08000003","Manchester","Mar-08",2439
"E12000002","North West","E08000004","Oldham","Mar-08",233
"E12000002","North West","E08000005","Rochdale","Mar-08",182
"E12000002","North West","E08000006","Salford","Mar-08",1216
"E12000002","North West","E08000007","Stockport","Mar-08",171
"E12000002","North West","E08000008","Tameside","Mar-08",318
"E12000002","North West","E08000009","Trafford","Mar-08",240
"E12000002","North West","E08000010","Wigan","Mar-08",1305
"E12000002","North West","E08000001","Bolton","Jun-08",434
"E12000002","North West","E08000002","Bury","Jun-08",252
"E12000002","North West","E08000003","Manchester","Jun-08",1861
"E12000002","North West","E08000004","Oldham","Jun-08",216
"E12000002","North West","E08000005","Rochdale","Jun-08",186
"E12000002","North West","E08000006","Salford","Jun-08",1163
"E12000002","North West","E08000007","Stockport","Jun-08",157
"E12000002","North West","E08000008","Tameside","Jun-08",428
"E12000002","North West","E08000009","Trafford","Jun-08",233
"E12000002","North West","E08000010","Wigan","Jun-08",1083
"E12000002","North West","E08000001","Bolton","Sep-08",384
